strain,stress_mpa
0,-29.48976
0.000251649368547,11.7796283841
0.000503298737093,45.1952976506
0.000754948105639,49.4952150317
0.00100659747419,42.283018999
0.00125824684273,8.39627801146
0.00150989621128,-14.970395812
0.00176021410168,55.3105636596
0.00201186347023,50.1134803224
0.00226351283878,68.4330850445
0.00251516220732,1.04052569276
0.00276681157587,-29.2324317859
0.00301846094442,39.2371370116
0.00327011031296,15.4971650775
0.00352175968151,41.0067497628
0.00377340905006,31.618323873
0.0040250584186,64.4817377012
0.00427670778715,29.4251508222
0.0045283571557,56.4349966953
0.00478000652424,66.1917054446
0.00503165589279,84.3842221293
0.00528330526134,64.1342970527
0.00553495462988,17.6867196662
0.00578660399843,8.13290149658
0.00603825336698,71.8241717207
0.00628990273552,54.1055783103
0.00654155210407,133.931108835
0.00679320147261,44.7249405405
0.00704485084116,125.128779003
0.00729516873157,83.6289890177
0.00754681810011,59.9909515876
0.00779846746866,63.1652438836
0.00805011683721,53.3057398753
0.00830176620575,106.065299771
0.0085534155743,44.9170786897
0.00880506494285,29.3249550027
0.00905671431139,38.6533693793
0.00930836367994,79.2366880927
0.00956001304849,81.5432698623
0.00981166241703,49.5697232235
0.0100633117856,112.988818441
0.0103149611541,98.4813516632
0.0105666105227,131.802079884
0.0108182598912,58.7807827592
0.0110699092598,80.8508618648
0.0113215586283,54.0698122308
0.0115732079969,107.10540795
0.0118248573654,122.22711611
0.012076506734,76.0335649161
0.0123281561025,57.1990216983
0.012579805471,117.085160626
0.0128301233614,121.911929687
0.01308177273,90.2302114032
0.0133334220985,103.016180177
0.0135850714671,75.3143938306
0.0138367208356,111.568127086
0.0140883702042,110.347003373
0.0143400195727,110.810232597
0.0145916689413,122.961535258
0.0148433183098,121.973229742
0.0150949676784,134.242950226
0.0153466170469,126.600107385
0.0155982664155,120.670177256
0.015849915784,96.0067519097
0.0161015651526,70.5697015147
0.0163532145211,117.093177749
0.0166048638896,133.495843147
0.0168565132582,161.221141803
0.0171081626267,131.78360503
0.0173598119953,150.450575954
0.0176114613638,109.865424349
0.0178631107324,171.200107708
0.0181147601009,128.12690628
0.0183664094695,122.188080152
0.0186167273599,84.2766301429
0.0188683767284,139.851697811
0.019120026097,90.8836470928
0.0193716754655,153.445701744
0.0196233248341,167.50308657
0.0198749742026,163.554996184
0.0201266235712,104.035052071
0.0203782729397,147.658806784
0.0206299223083,181.46173494
0.0208815716768,116.447474494
0.0211332210453,123.577866839
0.0213848704139,135.95428455
0.0216365197824,141.888679058
0.021888169151,148.134100417
0.0221398185195,147.513401997
0.0223914678881,142.374027978
0.0226431172566,109.572491894
0.0228947666252,117.770137643
0.0231464159937,165.917813257
0.0233980653623,137.274739211
0.0236497147308,162.401800834
0.0239013640994,165.014800191
0.0241516819898,164.255033378
0.0244033313583,137.727658822
0.0246549807269,190.053119485
0.0249066300954,151.527356399
0.0251582794639,190.569557456
0.0254099288325,198.775855794
0.025661578201,170.898850559
0.0259132275696,157.54704475
0.0261648769381,181.392302484
0.0264165263067,187.018727576
0.0266681756752,163.380605483
0.0269198250438,193.306157928
0.0271714744123,156.275487113
0.0274231237809,183.597261767
0.0276747731494,159.232871276
0.027926422518,197.35823707
0.0281780718865,155.888251139
0.0284297212551,188.588912682
0.0286813706236,143.341865508
0.0289330199921,242.555034782
0.0291846693607,225.233307546
0.0294363187292,224.230023876
0.0296866366196,199.478272673
0.0299382859882,182.011989617
